       step          sn     cputime cputimediff       angle         ref           v 
 275.000000  524.000000    2.624568    0.005962  140.361328  136.800000   -0.102010 
 276.000000  525.000000    2.630648    0.006081  136.845703  135.000000    0.087009 
 277.000000  526.000000    2.636580    0.005931  133.330078  133.200000    0.207021 
 278.000000  527.000000    2.642471    0.005892  131.484375  131.400000    0.348035 
 279.000000  529.000000    2.648317    0.005846  130.341797  127.800000   -0.250525 
 280.000000  530.000000    2.654261    0.005944  129.814453  126.000000   -0.237024 
 281.000000  531.000000    2.660169    0.005908  128.320312  124.200000   -0.343534 
 282.000000  532.000000    2.666091    0.005922  127.089844  122.400000   -0.246025 
 283.000000  533.000000    2.671994    0.005903  126.035156  120.600000   -0.328533 
 284.000000  534.000000    2.677908    0.005914  124.980469  118.800000   -0.414041 
 285.000000  536.000000    2.683812    0.005904  124.453125  115.200000   -0.765077 
 286.000000  537.000000    2.689720    0.005909  124.013672  113.400000   -0.861086 
 287.000000  538.000000    2.695622    0.005902  122.431641  111.600000   -0.931593 
 288.000000  539.000000    2.701523    0.005901  119.443359  109.800000   -0.805581 
 289.000000  540.000000    2.707422    0.005899  115.664062  108.000000   -0.528053 
 290.000000  542.000000    2.713321    0.005899  107.666016  104.400000   -0.903090 
 291.000000  543.000000    2.719226    0.005905  103.095703  102.600000    0.142514 
 292.000000  544.000000    2.725127    0.005901   98.173828  100.800000    0.429043 
 293.000000  545.000000    2.731029    0.005902   93.691406   99.000000    0.733573 
 294.000000  546.000000    2.736938    0.005909   92.109375   97.200000    0.900090 
 295.000000  548.000000    2.742957    0.006020   94.218750   93.600000    0.157516 
 296.000000  549.000000    2.748866    0.005908   96.064453   91.800000   -0.382538 
 297.000000  550.000000    2.754770    0.005905   97.734375   90.000000   -0.708071 
 298.000000  551.000000    2.760679    0.005909   97.558594   88.200000   -0.975098 
 299.000000  552.000000    2.766581    0.005902   95.888672   86.400000   -0.874587 
 300.000000  553.000000    2.772489    0.005907   92.460938   84.600000   -0.694569 
 301.000000  555.000000    2.778396    0.005907   85.429688   81.000000   -0.928593 
 302.000000  556.000000    2.784304    0.005908   81.035156   79.200000   -0.054005 
 303.000000  557.000000    2.790208    0.005904   75.761719   77.400000    0.285029 
 304.000000  558.000000    2.796117    0.005910   71.982422   75.600000    0.687069 
 305.000000  559.000000    2.802021    0.005904   69.697266   73.800000    0.658566 
 306.000000  561.000000    2.807977    0.005955   71.191406   70.200000    0.064506 
 307.000000  562.000000    2.814066    0.006089   73.212891   68.400000   -0.390039 
 308.000000  563.000000    2.820190    0.006123   74.794922   66.600000   -0.787579 
 309.000000  564.000000    2.826164    0.005974   74.091797   64.800000   -1.014101 
 310.000000  565.000000    2.832076    0.005912   72.070312   63.000000   -0.813081 
 311.000000  567.000000    2.837978    0.005902   65.917969   59.400000   -1.039604 
 312.000000  568.000000    2.843882    0.005904   62.402344   57.600000   -0.237024 
 313.000000  569.000000    2.849776    0.005894   57.304687   55.800000   -0.085509 
 314.000000  570.000000    2.855679    0.005902   53.876953   54.000000    0.391539 
 315.000000  571.000000    2.861582    0.005903   51.328125   52.200000    0.310531 
 316.000000  572.000000    2.867483    0.005902   50.097656   50.400000    0.259526 
 317.000000  574.000000    2.873383    0.005900   49.833984   46.800000   -0.265527 
 318.000000  575.000000    2.879292    0.005909   50.097656   45.000000   -0.417042 
 319.000000  576.000000    2.885302    0.006010   50.185547   43.200000   -0.600060 
 320.000000  577.000000    2.891191    0.005889   50.273438   41.400000   -0.736574 
 321.000000  578.000000    2.897098    0.005907   49.306641   39.600000   -0.894089 
 322.000000  580.000000    2.903008    0.005910   46.406250   36.000000   -1.107111 
 323.000000  581.000000    2.908914    0.005905   43.417969   34.200000   -0.804080 
 324.000000  582.000000    2.914815    0.005901   38.583984   32.400000   -0.537054 
 325.000000  583.000000    2.920693    0.005878   33.837891   30.600000   -0.049505 
 326.000000  584.000000    2.926594    0.005901   29.794922   28.800000    0.181518 
 327.000000  585.000000    2.932495    0.005901   26.982422   27.000000    0.277528 
 328.000000  587.000000    2.938400    0.005905   24.697266   23.400000   -0.310531 
 329.000000  588.000000    2.944307    0.005907   24.169922   21.600000   -0.190519 
 330.000000  589.000000    2.950206    0.005899   23.818359   19.800000   -0.307531 
 331.000000  592.000000    2.963005    0.012799   21.005859   14.400000   -0.798080 
 332.000000  595.000000    2.978708    0.015703   11.337891    9.000000   -1.020102 
 333.000000  598.000000    2.994280    0.015572   -3.691406    3.600000   -0.667567 
 334.000000  601.000000    3.011804    0.017524  -20.214844   -1.800000    0.139514 
 335.000000  603.000000    3.021616    0.009812  -25.048828   -5.400000    1.224122 
 336.000000  605.000000    3.032795    0.011179  -19.335938   -9.000000    1.338134 
 337.000000  610.000000    3.053295    0.020501    9.931641  -18.000000    0.129013 
 338.000000  614.000000    3.073728    0.020433   16.083984  -25.200000   -2.941794 
 339.000000  618.000000    3.093819    0.020091  -32.519531  -32.400000   -4.104410 
 340.000000  620.000000    3.106785    0.012966  -72.949219  -36.000000   -0.361536 
 341.000000  625.000000    3.128232    0.021447 -128.144531  -45.000000    2.296730 
 342.000000  629.000000    3.152408    0.024176 -108.720703  -52.200000    5.000000 
 343.000000  633.000000    3.169286    0.016878  -13.535156  -59.400000    4.249925 
 344.000000  638.000000    3.193415    0.024129  100.195312  -68.400000   -4.485449 
 345.000000  642.000000    3.214910    0.021495   56.689453  -75.600000   -5.000000 
 346.000000  646.000000    3.234433    0.019522  -58.798828  -82.800000   -5.000000 
 347.000000  650.000000    3.255925    0.021492 -181.669922  -90.000000   -2.922292 
 348.000000  654.000000    3.275498    0.019573 -272.109375  -97.200000    5.000000 
 349.000000  658.000000    3.293092    0.017595 -240.556641 -104.400000    5.000000 
 350.000000  661.000000    3.308851    0.015759 -164.355469 -109.800000    5.000000 
 351.000000  664.000000    3.326162    0.017311  -64.160156 -115.200000    4.260426 
 352.000000  668.000000    3.345693    0.019531   59.062500 -122.400000   -4.722472 
 353.000000  671.000000    3.362630    0.016937   65.214844 -127.800000   -5.000000 
 354.000000  676.000000    3.387448    0.024818  -42.275391 -136.800000   -5.000000 
 355.000000  679.000000    3.398447    0.010998 -144.228516 -142.200000   -5.000000 
 356.000000  683.000000    3.417971    0.019524 -288.984375 -149.400000   -0.825083 
 357.000000  686.000000    3.435549    0.017579 -360.791016 -154.800000    5.000000 
 358.000000  689.000000    3.449237    0.013688 -361.494141 -160.200000    5.000000 
