       step          sn     cputime cputimediff       angle         ref       error           v 
 297.000000  554.000000    2.788047    0.005951  111.621094   82.800000  -28.821094   -3.630363 
 298.000000  555.000000    2.793996    0.005949  106.523438   81.000000  -25.523437   -3.022802 
 299.000000  557.000000    2.799947    0.005951   84.111328   77.400000   -6.711328   -1.575158 
 300.000000  558.000000    2.805899    0.005952   69.433594   75.600000    6.166406    1.065107 
 301.000000  559.000000    2.811845    0.005946   56.162109   73.800000   17.637891    2.595260 
 302.000000  560.000000    2.817747    0.005901   48.076172   72.000000   23.923828    3.516352 
 303.000000  561.000000    2.823674    0.005927   46.494141   70.200000   23.705859    3.378338 
 304.000000  563.000000    2.829573    0.005899   58.974609   66.600000    7.625391    2.391239 
 305.000000  564.000000    2.835478    0.005905   71.455078   64.800000   -6.655078   -0.681068 
 306.000000  565.000000    2.841469    0.005991   83.583984   63.000000  -20.583984   -2.605761 
 307.000000  566.000000    2.847368    0.005899   91.054688   61.200000  -29.854688   -3.921392 
 308.000000  567.000000    2.853269    0.005901   91.845703   59.400000  -32.445703   -4.153915 
 309.000000  568.000000    2.859169    0.005901   86.835938   57.600000  -29.235937   -3.439844 
 310.000000  570.000000    2.865061    0.005892   62.050781   54.000000   -8.050781   -1.972697 
 311.000000  571.000000    2.870960    0.005899   46.933594   52.200000    5.266406    1.189619 
 312.000000  572.000000    2.876853    0.005892   31.640625   50.400000   18.759375    2.557756 
 313.000000  573.000000    2.882749    0.005896   22.500000   48.600000   26.100000    3.907891 
